TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
6.695273,3.15MB / 0B,49.94%,otel-collector,e765f503e969,45.44%,90.87MiB / 200MiB,otel-collector,2.89MB / 1.21MB,14,4666206,0
11.588834,3.15MB / 0B,32.28%,otel-collector,e765f503e969,57.13%,114.3MiB / 200MiB,otel-collector,5.04MB / 2.26MB,14,8183422,1600342
16.625425,3.27MB / 3.97MB,33.12%,otel-collector,e765f503e969,59.89%,119.8MiB / 200MiB,otel-collector,7.86MB / 4.02MB,14,11828686,2921018
21.670635,3.32MB / 8.26MB,64.05%,otel-collector,e765f503e969,59.79%,119.6MiB / 200MiB,otel-collector,9.93MB / 5.12MB,14,14951204,4392423
26.586718,3.4MB / 10.9MB,42.28%,otel-collector,e765f503e969,54.04%,108.1MiB / 200MiB,otel-collector,12.1MB / 6.17MB,14,17751649,5172479
